0	0	0	44	19	0	0	0	0	24	0	19	0	0	0	0	0	16	0	18	0	0	0	14	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	7
0	0	0	23	0	62	28	0	0	0	0	0	0	0	0	0	0	0	0	28	20	30	0	10	0	0	0	0	0	0	0	0	0	0	0	26	0	35	0	0
0	42	0	0	0	0	0	0	15	14	0	0	0	15	0	0	0	0	0	0	11	0	16	0	10	0	13	0	0	0	0	0	13	0	0	0	0	0	0	0
0	41	0	0	0	0	0	63	0	0	0	0	26	27	0	0	28	0	0	0	0	0	0	16	0	0	0	15	0	0	0	0	17	18	0	0	0	0	0	0
30	0	0	0	0	0	0	26	0	0	0	28	0	5	0	0	0	0	0	12	7	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	14
0	0	22	0	22	0	0	16	23	20	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	12	19	0	0	0	0	0	0	0	0	0
0	0	0	13	0	22	0	0	0	0	0	0	0	0	12	0	0	0	0	0	10	0	0	0	0	0	0	0	0	8	0	0	0	5	18	6	0	0	10	0
0	22	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	12	15	0	0	0	0	3	6	0	18	0	15	0	11	0	0	0	0	0	0	0	0	0
15	0	0	0	0	8	15	0	0	8	0	0	0	0	15	0	12	0	0	0	0	0	0	0	0	20	14	0	0	0	0	0	0	0	0	0	0	0	0	4
0	0	0	12	0	0	19	0	17	0	0	11	0	0	0	0	7	0	0	5	0	0	0	0	0	0	0	0	0	0	18	0	9	11	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	7	0	8	8	16	0	0	3	0	0	0	3	0	0	0	4	0	0	12	0	0	0
20	19	0	0	0	0	0	0	0	18	0	0	0	16	11	0	11	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	10	0	0	0	0
0	17	19	17	0	0	0	0	0	0	0	12	0	0	0	0	0	12	0	12	5	0	0	0	0	0	0	0	13	0	0	6	0	0	0	0	0	0	0	0
21	0	32	0	0	0	0	0	0	0	0	0	0	0	0	15	15	0	0	13	0	14	0	9	19	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	13	0	0	0	0	0	0	0	0	12	0	16	0	0	17	0	4	0	0	0	0	0	0	0	0	0	0	0	7	0	8	0	0	18	12	0
0	13	0	15	11	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	3	0	7	4	0	0	0	0	0	0	0	4	0	0	0	0	0	8	0
0	0	0	0	0	19	0	0	0	0	0	0	28	0	0	0	0	0	0	15	0	8	18	3	0	0	0	0	0	15	0	0	0	9	0	7	0	0	0	0
9	0	0	19	0	0	0	0	0	0	0	0	0	11	3	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	9	0	0	3	0	0	0	0	9	0
